Precinct,Congressional ,House,Wayne County Commissioner ,Wayne County College District 
011,13,010,8201,01
015,13,010,8201,01
016,13,010,8201,01
018,13,010,8201,01
019,13,010,8201,01
020,13,010,8201,01
022,13,010,8201,01
023,13,010,8201,01
025,13,010,8201,01
CB # 1,,CCB,,
,,,,
032,13,010,8201,01
033,13,010,8201,01
034,13,010,8201,01
038,13,010,8201,01
039,13,010,8201,01
040,13,010,8201,01
041,13,010,8201,01
043,13,010,8201,01
502,13,010,8201,01
CB # 2,,CCB,,
,,,,
061,13,011,8203,
062,13,011,8203,
064,13,011,8203,
065,13,011,8203,
066,13,011,8203,
068,13,011,8203,
070,13,011,8203,
CB #3,,CCB,,
,,,,
071,13,011,8203,
072,13,011,8203,
073,13,011,8203,
074,13,011,8203,
086,13,011,8203,
088,13,011,8203,
173,13,011,8203,
174,13,011,8203,
175,13,011,8203,
CB #4,,CCB,,
,,,,
176,13,011,8203,
177,13,011,8203,
178,13,011,8203,
180,13,011,8203,
182,13,011,8203,
183,13,011,8203,
184,13,011,8203,
185,13,011,8203,
CB #5,,CCB,,
,,,,
188,13,011,8203,
189,13,011,8203,
190,13,011,8203,
191,13,011,8203,
192,13,011,8203,
193,13,011,8203,
194,13,011,8203,
195,13,011,8203,
197,13,011,8203,
CB #6,,CCB,,
,,,,
078,13,011,8203,01
079,13,011,8203,01
080,13,011,8203,01
CB #7,,CCB,,
,,,,
172,13,011,8205,
CB #8,,CCB,,
,,,,
044,13,012,8201,01
050,13,012,8201,01
051,13,012,8201,01
052,13,012,8201,01
053,13,012,8201,01
081,13,012,8201,01
082,13,012,8201,01
083,13,012,8201,01
084,13,012,8201,01
085,13,012,8201,01
CB # 9,,CCB,,
,,,,
035,13,012,8203,01
045,13,012,8203,01
046,13,012,8203,01
055,13,012,8203,01
CB #10,,CCB,,
,,,,
069,13,01,8202,03
143,13,01,8202,03
443,13,01,8202,03
CB # 11,,CCB,,
,,,,
457,13,01,8204,03
460,13,01,8204,03
461,13,01,8204,03
462,13,01,8204,03
470,13,01,8204,03
471,13,01,8204,03
472,13,01,8204,03
473,13,01,8204,03
CB # 12,,CCB,,
,,,,
474,13,01,8204,03
475,13,01,8204,03
477,13,01,8204,03
479,13,01,8204,03
480,13,01,8204,03
481,13,01,8204,03
482,13,01,8204,03
483,13,01,8204,03
484,13,01,8204,03
485,13,01,8204,03
CB # 13,,CCB,,
,,,,
447,13,01,8205,
449,13,01,8205,
CB # 14,,CCB,,
,,,,
416,13,01,8207,
418,13,01,8207,
420,13,01,8207,
450,13,01,8207,
CB #15,,CCB,,
,,,,
422,13,01,8207,03
423,13,01,8207,03
424,13,01,8207,03
425,13,01,8207,03
452,13,01,8207,03
453,13,01,8207,03
CB #16,,CCB,,
,,,,
417,13,01,8207,03/04
419,13,01,8207,03/04
CB # 17,,CCB,,
,,,,
166,13,04,8205,
CB # 18,,CCB,,
,,,,
405,13,04,8207,
409,13,04,8207,
414,13,04,8207,
415,13,04,8207,
421,13,04,8207,
CB # 19,,CCB,,
,,,,
221,13,05,8205,
222,13,05,8205,
238,13,05,8205,
239,13,05,8205,
259,13,05,8205,
260,13,05,8205,
CB # 20,,CCB,,
,,,,
014,13,07,8201,01
049,13,07,8201,01
CB # 21,,CCB,,
,,,,
090,13,07,8202,
100,13,07,8202,
161,13,07,8202,
162,13,07,8202,
167,13,07,8202,
168,13,07,8202,
169,13,07,8202,
437,13,07,8202,
438,13,07,8202,
442,13,07,8202,
446,13,07,8202,
448,13,07,8202,
CB # 22,,CCB,,
,,,,
010,13,07,8202,01
012,13,07,8202,01
101,13,07,8202,01
102,13,07,8202,01
111,13,07,8202,01
CB # 23,,CCB,,
,,,,
075,13,07,8203,
077,13,07,8203,
089,13,07,8203,
091,13,07,8203,
092,13,07,8203,
093,13,07,8203,
094,13,07,8203,
095,13,07,8203,
097,13,07,8203,
098,13,07,8203,
103,13,07,8203,
105,13,07,8203,
107,13,07,8203,
491,13,07,8203,
CB # 24,,CCB,,
,,,,
036,13,07,8203,01
047,13,07,8203,01
056,13,07,8203,01
CB #25,,CCB,,
,,,,
158,13,08,8202,
159,13,08,8202,
220,13,08,8202,
432,13,08,8202,
433,13,08,8202,
434,13,08,8202,
436,13,08,8202,
439,13,08,8202,
CB # 26,,CCB,,
,,,,
198,13,08,8205,
199,13,08,8205,
200,13,08,8205,
201,13,08,8205,
203,13,08,8205,
CB #27,,CCB,,
,,,,
204,13,08,8205,
207,13,08,8205,
208,13,08,8205,
209,13,08,8205,
210,13,08,8205,
211,13,08,8205,
CB #28,,CCB,,
,,,,
212,13,08,8205,
215,13,08,8205,
216,13,08,8205,
217,13,08,8205,
218,13,08,8205,
219,13,08,8205,
396,13,08,8205,
398,13,08,8205,
399,13,08,8205,
400,13,08,8205,
426,13,08,8205,
428,13,08,8205,
429,13,08,8205,
430,13,08,8205,
435,13,08,8205,
440,13,08,8205,
CB # 29,,CCB,,
,,,,
386,13,08,8205,05
387,13,08,8205,05
390,13,08,8205,05
402,13,08,8205,05
490,13,08,8205,05
CB # 30,,CCB,,
,,,,
360,13,08,8207,
CB # 31,,CCB,,
,,,,
026,13,09,8201,01
CB # 32,,CCB,,
,,,,
005,13,09,8201,03
006,13,09,8201,03
007,13,09,8201,03
008,13,09,8201,03
009,13,09,8201,03
029,13,09,8201,03
CB # 33,,CCB,,
,,,,
121,13,09,8202,
136,13,09,8202,
137,13,09,8202,
138,13,09,8202,
139,13,09,8202,
140,13,09,8202,
146,13,09,8202,
147,13,09,8202,
CB # 34,,CCB,,
,,,,
150,13,09,8202,
151,13,09,8202,
164,13,09,8202,
165,13,09,8202,
441,13,09,8202,
464,13,09,8202,
500,13,09,8202,
CB #35,,CCB,,
,,,,
027,13,09,8202,01
116,13,09,8202,01
CB #36,,CCB,,
,,,,
001,13,09,8202,03
002,13,09,8202,03
004,13,09,8202,03
112,13,09,8202,03
115,13,09,8202,03
120,13,09,8202,03
122,13,09,8202,03
123,13,09,8202,03
CB # 37,,CCB,,
,,,,
124,13,09,8202,03
125,13,09,8202,03
126,13,09,8202,03
128,13,09,8202,03
CB # 38,,CCB,,
,,,,
129,13,09,8202,03
130,13,09,8202,03
132,13,09,8202,03
133,13,09,8202,03
134,13,09,8202,03
135,13,09,8202,03
CB # 39,,CCB,,
,,,,
144,13,09,8202,03
145,13,09,8202,03
148,13,09,8202,03
156,13,09,8202,03
157,13,09,8202,03
458,13,09,8202,03
466,13,09,8202,03
493,13,09,8202,03
496,13,09,8202,03
497,13,09,8202,03
CB # 40,,CCB,,
,,,,
059,13,09,8203,
CB # 41,,CCB,,
,,,,
444,13,09,8204,03
CB # 42,,CCB,,
,,,,
268,12,016,8206,
279,12,016,8206,
283,12,016,8206,
285,12,016,8206,
297,12,016,8206,
309,12,016,8206,
310,12,016,8206,
CB # 43,,CCB,,
,,,,
278,12,016,8206,05
304,12,016,8206,05
305,12,016,8206,05
306,12,016,8206,05
307,12,016,8206,05
308,12,016,8206,05
495,12,016,8206,05
CB # 44,,CCB,,
,,,,
299,12,016,8207,05
323,12,016,8207,05
324,12,016,8207,05
325,12,016,8207,05
326,12,016,8207,05
CB # 45,,CCB,,
,,,,
349,12,016,8207,05
350,12,016,8207,05
351,12,016,8207,05
352,12,016,8207,05
361,12,016,8207,05
501,12,016,8207,05
